beta_t,beta,best_actor_num,mean-okl/0,mean-bkl/0,mean-okl/1,mean-bkl/1,mean-okl/2,mean-bkl/2,mean-okl/3,mean-bkl/3,return-average/0,episode-length-avg/0,return-average/1,episode-length-avg/1,return-average/2,episode-length-avg/2,return-average/3,episode-length-avg/3,return-average,time-eval,time-total,epoch,avg-path-return/0,total-samples/0,avg-path-return/1,total-samples/1,avg-path-return/2,total-samples/2,avg-path-return/3,total-samples/3
1,1,0,nan,nan,nan,nan,nan,nan,nan,nan,785.996523264615,1000.0,849.8504793446324,1000.0,966.2582190241767,1000.0,818.1683090176518,1000.0,855.068382662769,0,21.888610569985758,0,-14.517640955272876,1000.0,-72.58410585198521,1000.0,-67.68266359526939,1000.0,-13.46494754033416,1000.0
1,1,0,nan,nan,nan,nan,nan,nan,nan,nan,691.4476345134051,906.9,846.6196505314144,1000.0,965.5054602241802,1000.0,809.7035693700843,1000.0,828.3190786597711,0,43.2246353409937,4,-55.263792256950694,2000.0,-34.293349289782746,2000.0,-75.47290153435704,2000.0,-176.7657381676142,2000.0
0.25,0.25,3,0.33778587,0.41154605,0.33562317,0.41129,0.28413543,0.45455542,0.236913,0.2373823,999.5805321293121,1000.0,1004.4761130802096,1000.0,477.85748114507385,1000.0,-20.27168712006075,1000.0,615.4106098086337,21.33604590399773,104.48760037602915,8,-86.9300617119192,3000.0,-35.47086817185075,3000.0,-55.46421756532929,3000.0,-12.657962644675283,3000.0
0.0625,0.0625,2,0.3347779,0.3739625,0.3355177,0.37353697,0.28957874,0.2886197,0.24275221,0.46740565,1000.7541590182021,1000.0,996.5882150401274,1000.0,472.96320985040427,1000.0,-19.574603643057923,1000.0,612.682745066419,21.189139412999793,202.6725321681879,12,-125.6606747117225,4000.0,-61.44907104271857,4000.0,-94.8373193646349,4000.0,-91.40371113536261,4000.0
0.00390625,0.00390625,3,0.33466998,0.4188248,0.33442435,0.41813192,0.2932212,0.44642943,0.24841732,0.24918085,1002.9991156859071,1000.0,1003.3612401344064,1000.0,486.6587646864922,1000.0,-13.982121217096235,1000.0,619.7592498224274,20.658327926998027,300.7131032581674,16,-90.61673067093025,5000.0,-94.23200151085511,5000.0,-131.46457395707324,5000.0,-200.843714135335,5000.0
